,CTL,FTR,LVLT,T,VZ
464,18.540001,11.86,52.68,38.32,49.299999
465,18.6,11.93,52.779999,38.5,49.369999
466,18.5,11.7,52.790001,38.400002,49.189999
467,18.540001,11.82,52.700001,38.529999,49.869999
468,19.34,12.22,53.799999,39.119999,49.959999
469,19.360001,12.39,53.93,38.630001,49.189999
470,19.27,12.31,53.720001,38.68,49.240002
471,19.299999,12.24,53.700001,38.950001,49.299999
472,18.889999,11.68,53.380001,39.200001,49.389999
473,19.66,12.15,54.549999,39.189999,49.450001
474,20.0,12.48,55.16,39.369999,49.639999
475,20.139999,12.25,55.279999,39.610001,49.959999
476,19.969999,12.05,54.950001,38.84,49.040001
477,20.040001,12.2,55.200001,38.650002,48.889999
478,20.110001,12.53,55.060001,38.349998,49.279999
479,20.309999,12.32,55.509998,38.52,49.139999
480,20.15,12.03,55.209999,37.490002,48.439999
481,20.389999,12.1,55.549999,35.84,48.34
482,20.23,11.9,55.299999,35.82,47.900002
483,19.690001,11.67,54.560001,36.169998,48.09
484,19.030001,11.46,53.5,36.23,48.330002
485,18.799999,11.47,53.049999,35.93,50.049999
486,18.6,11.5,52.900002,35.79000100000001,49.450001
487,19.1,11.48,53.439999,35.419998,49.470001
488,18.9,11.49,53.18,35.310001,49.16
489,18.620001,11.29,52.939999,34.259998,48.68
490,18.59,11.42,52.900002,33.75,48.860001
491,18.459999,11.45,52.799999,33.68,48.720001
492,17.49,11.64,50.990002,34.02,48.880001
493,18.559999,11.92,53.0,33.639999,47.939999
494,19.040001,12.06,53.630001,33.860001000000004,48.150002
495,17.700001,8.98,,33.57,47.880001
496,17.5,9.09,,33.34,47.66
