,APA,APC,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SLB,SWN,VLO,WMB,XEC,XOM
97,49.209999,45.419998,3.74,22.299999,40.43,94.370003,101.25,27.360001,70.790001,64.260002,27.280001,35.970001,53.470001,56.810001,17.49,36.25,10.88,24.25,30.940001,32.599998,29.110001,28.889999,69.550003,84.599998,142.149994,8.63,31.639999,72.510002,7.72,61.529999,15.39,97.919998,82.760002
98,50.75,47.490002,3.79,23.709999,41.619999,96.25,106.150002,28.6,73.370003,66.059998,27.43,37.220001,54.639999,57.75,17.92,37.830002,11.66,25.43,31.950001,33.860001000000004,29.18,29.68,70.709999,85.800003,145.119995,8.72,34.119999,73.440002,8.28,61.75,16.15,101.379997,83.300003
99,51.18,48.77,4.12,23.49,41.43,96.870003,105.870003,29.01,73.879997,67.58000200000001,27.610001,37.5,55.060001,57.619999,18.02,38.98,11.92,26.049999,32.09,34.369999,28.25,30.35,70.809998,86.5,145.720001,8.72,34.990002000000004,74.360001,8.6,62.389999,16.370001000000002,102.610001,83.33000200000002
100,50.59,47.889999,4.84,23.129999,41.57,95.690002,105.550003,29.790001,74.459999,65.879997,27.459999,37.32,55.330002,58.490002,17.889999,38.200001,12.03,26.77,32.529999,34.75,27.48,30.41,71.279999,84.66999799999998,143.240005,9.0,35.23,74.16999799999998,9.27,60.799999,17.190001000000002,104.300003,83.690002
101,53.099998,49.75,6.11,23.780001,43.630001,97.800003,107.43,30.76,77.610001,68.980003,28.190001,37.869999,57.279999,60.380001,18.870001,39.209999,12.97,28.959999,33.720001,35.459999,27.99,32.490002000000004,72.650002,86.480003,147.360001,9.58,38.009998,75.980003,10.38,61.66,17.629998999999994,106.980003,84.5
102,52.84,49.669998,6.13,23.139999,43.830002,97.650002,107.419998,31.18,78.029999,68.099998,28.76,38.389999,56.73,60.709999,18.75,39.700001,13.02,29.02,33.18,35.130001,29.41,31.860001,72.660004,87.110001,147.0,10.08,37.790001,77.459999,10.47,62.650002,18.58,107.040001,85.0
103,52.310001,49.25,5.76,22.6,43.75,97.709999,107.0,31.01,77.41999799999998,66.260002,27.92,38.130001,57.25,58.799999,18.290001,39.34,12.92,28.440001,32.700001,35.330002,28.42,31.51,73.800003,86.660004,148.279999,9.06,36.310001,77.160004,10.25,61.419998,17.57,107.059998,85.300003
104,50.27,46.970001,5.49,22.389999,42.09,97.230003,100.739998,29.969999,74.040001,64.66999799999999,26.99,37.25,55.419998,56.009998,17.620001000000006,37.900002,12.29,27.219999,31.040001,33.810001,27.059999,30.57,72.150002,84.849998,140.5,9.22,35.759998,74.739998,9.98,59.490002,16.959999,102.110001,84.970001
105,53.98,50.740002,6.19,23.700001,45.209999,99.0,108.830002,32.900002,78.519997,68.059998,29.0,39.09,60.41,60.580002,18.66,38.830002,13.54,29.57,32.990002000000004,36.540001,28.530001,32.560001,73.709999,85.720001,148.850006,9.85,37.549999,77.989998,10.57,61.029999,16.9,109.080002,85.849998
106,54.48,50.439999,6.05,23.4,46.73,100.080002,108.959999,33.0,78.129997,68.209999,29.280001,39.59,60.470001,62.740002,19.01,38.200001,13.89,30.25,34.0,36.369999,28.82,34.02,74.629997,85.910004,151.740005,10.51,38.200001,79.150002,10.65,60.0,17.83,107.480003,86.230003
107,54.939999,50.619999,6.64,23.459999,46.990002,101.639999,112.379997,34.860001000000004,79.379997,68.610001,29.379999,40.279999,61.369999,63.91,18.950001,39.43,14.18,31.719999,34.830002,36.900002,28.85,34.849998,75.209999,86.839996,155.149994,10.83,38.759998,80.879997,10.93,60.220001,18.9,109.769997,86.589996
108,55.27,50.139999,6.29,23.0,46.34,101.739998,112.300003,34.27,79.66999799999998,67.32,28.950001,40.139999,60.5,63.740002,18.280001,40.84,13.97,31.870001,35.279999,36.240002,28.540001,34.759998,74.91999799999998,87.639999,151.740005,10.75,37.470001,77.720001,11.27,60.48,19.27,107.160004,87.239998
109,55.66,52.130001,6.59,22.879999,47.16,101.470001,113.910004,34.959999,80.389999,68.160004,29.34,40.549999,62.740002,63.439999,18.1,41.299999,14.25,33.27,35.82,36.57,29.059999,35.799999,75.260002,87.900002,152.5,10.63,39.389999,79.559998,12.13,61.25,19.59,107.989998,87.089996
110,54.889999,51.439999,6.48,22.41,46.599998,102.050003,113.769997,34.349998,80.519997,68.82,29.07,40.209999,62.049999,63.68,17.73,41.400002,14.09,33.91,35.549999,36.810001,29.5,35.779999,75.75,88.449997,159.28999299999995,10.33,38.689999,79.129997,12.15,62.150002,19.25,107.580002,87.75
111,56.43,53.029999,6.78,23.08,48.549999,102.900002,120.129997,34.900002,83.690002,69.980003,29.24,40.23,62.0,63.959999,18.059999,41.709999,14.7,35.29000100000001,36.889999,37.889999,30.469999,36.529999,76.760002,88.849998,168.589996,10.51,39.919998,79.779999,13.2,61.77,19.559999,112.769997,87.949997
112,56.880001,54.360001,7.1,23.790001,48.130001,103.129997,120.690002,36.450001,83.849998,71.279999,30.129999,41.130001,60.439999,64.639999,18.1,40.490002,14.79,36.610001,36.740002,37.880001,31.120001,36.330002,77.709999,88.360001,167.190002,11.08,41.400002,79.989998,13.65,61.759998,20.110001,111.599998,87.860001
113,55.889999,53.830002,6.98,23.709999,47.900002,101.139999,119.220001,36.540001,82.709999,70.389999,30.32,41.099998,59.810001,64.239998,17.74,40.709999,14.54,35.970001,36.040001,36.490002,33.330002,35.779999,76.5,85.209999,165.320007,11.36,42.279999,79.989998,13.09,60.470001,19.879999,110.25,88.68
114,54.610001,52.619999,6.83,23.33,47.560001,101.830002,116.220001,34.43,82.33000200000002,69.620003,30.469999,41.529999,59.560001,65.699997,17.73,39.029999,14.02,35.77,36.0,36.43,35.950001,35.959999,76.220001,82.440002,165.809998,11.04,43.669998,79.949997,13.16,58.959999,19.370001,108.739998,88.239998
115,53.049999,50.669998,6.38,24.030001,46.099998,102.260002,115.370003,33.790001000000004,81.440002,68.0,29.48,40.66,58.279999,61.84,17.280001000000002,37.889999,13.14,34.25,35.73,36.32,34.189999,35.029999,75.43,80.699997,163.550003,10.71,42.779999,78.33000200000002,12.59,58.029999,18.85,108.099998,88.400002
116,52.25,49.099998,6.09,24.290001,45.169998,101.059998,113.349998,33.939999,80.610001,68.440002,29.49,40.130001,57.400002,62.200001,17.25,37.830002,12.85,34.110001000000004,36.060001,36.529999,34.57,36.459999,75.18,79.900002,159.509995,10.55,42.700001,77.209999,12.09,57.630001,19.110001,105.93,88.300003
117,51.91,48.259998,6.3,24.370001,44.540001,101.849998,115.019997,32.490002000000004,80.440002,69.510002,29.139999,40.439999,57.209999,61.669998,17.4,36.720001,12.75,33.139999,36.32,35.810001,34.099998,38.740002,75.660004,80.019997,160.850006,10.5,43.299999,76.760002,12.18,56.720001,18.42,109.589996,88.760002
118,53.950001,45.639999,5.52,23.790001,42.73,100.839996,115.400002,30.719999,78.83000200000002,69.449997,28.26,39.470001,55.060001,59.700001,16.99,35.889999,11.87,29.76,34.959999,35.900002,33.040001000000004,38.630001,75.309998,78.709999,159.770004,9.93,41.619999,75.029999,11.94,55.34,20.52,112.970001,87.459999
119,53.450001,46.07,4.72,23.65,42.310001,101.620003,113.980003,31.0,78.209999,69.300003,27.77,39.310001,55.41,60.48,16.85,35.689999,11.89,29.809999,35.099998,37.200001,33.099998,40.0,75.25,78.5,157.649994,10.57,41.259998,73.489998,11.7,55.23,19.360001,109.540001,88.599998
120,52.610001,45.290001,4.23,24.139999,41.619999,100.639999,114.010002,30.4,78.769997,70.449997,27.67,39.009998,54.950001,58.82,17.09,35.419998,11.54,29.059999,35.439999,36.939999,31.59,39.709999,75.660004,78.760002,159.919998,10.02,42.200001,73.33000200000002,11.63,55.23,19.02,111.120003,88.900002
121,53.080002,46.610001,4.25,24.370001,42.869999,101.239998,116.510002,31.24,79.379997,70.449997,27.889999,38.830002,57.509998,58.619999,17.120001000000002,35.419998,11.91,29.629999,36.310001,37.619999,31.65,40.080002,75.900002,79.160004,160.479996,10.15,42.82,74.010002,12.3,56.0,19.32,112.940002,89.160004
122,54.970001,48.599998,4.59,24.799999,44.049999,102.150002,118.639999,33.700001,81.389999,70.980003,28.450001,40.0,59.200001,60.029999,17.25,35.900002,12.73,30.49,36.970001,38.34,32.860001000000004,40.68,76.980003,80.0,166.119995,10.18,43.75,74.239998,12.55,56.189999,19.83,115.970001,89.800003
123,53.580002,47.349998,3.98,24.190001,43.369999,101.629997,116.889999,31.889999,80.209999,70.199997,27.780001,39.75,57.869999,58.380001,16.940001000000002,34.830002,12.24,29.940001,36.16,38.41,31.629999,40.139999,76.360001,78.25,166.169998,9.67,41.950001,73.559998,11.75,54.959999,18.92,114.849998,89.279999
124,54.380001,48.509998,4.19,24.110001,43.790001,101.870003,118.0,33.48,79.639999,70.690002,28.139999,39.529999,58.82,59.400002,17.34,35.459999,12.77,29.950001,35.959999,38.959999,31.809999,41.73,76.150002,78.220001,166.300003,9.48,40.700001,73.300003,11.49,55.27,19.450001,116.330002,89.199997
125,54.860001,49.299999,3.99,23.91,43.880001,101.07,118.720001,33.889999,80.800003,70.089996,28.790001,40.5,58.299999,59.119999,17.27,35.639999,12.9,30.110001,36.150002,39.209999,32.240002000000004,41.68,76.33000200000002,78.559998,165.660004,9.45,37.84,74.239998,11.6,55.0,20.59,116.510002,89.269997
126,57.68,49.669998,3.96,23.780001,43.380001,100.900002,118.57,34.459999,81.360001,71.650002,29.200001,41.029999,57.73,59.849998,17.65,36.02,12.78,29.66,36.07,39.52,32.450001,41.599998,75.379997,78.290001,165.449997,9.67,39.610001,74.5,12.09,55.360001,21.5,115.870003,89.800003
127,55.82,48.02,3.78,22.809999,42.75,99.260002,114.730003,33.549999,79.150002,69.57,29.01,40.0,57.009998,57.099998,16.93,36.130001,12.35,28.4,34.669998,38.48,31.059999,39.560001,74.5,77.550003,162.070007,9.4,38.080002,72.57,11.69,56.049999,20.43,114.209999,88.610001
128,57.169998,49.599998,3.92,23.379999,43.52,100.300003,117.449997,34.27,80.589996,69.959999,27.18,40.549999,57.549999,57.66,17.41,36.279999,12.83,29.5,35.18,39.849998,31.120001,41.610001,75.309998,78.150002,163.5,9.12,40.299999,74.66999799999998,12.1,55.59,21.85,116.25,90.389999
129,56.759998,48.889999,3.69,22.889999,43.200001,99.18,116.769997,33.970001,79.800003,69.029999,26.870001,40.43,56.959999,58.23,17.530001000000002,36.41,12.87,29.09,35.369999,40.139999,31.530001,41.509998,74.480003,77.510002,162.690002,9.25,40.32,75.519997,11.56,55.34,21.959999,115.769997,89.0
130,58.139999,49.549999,3.68,23.43,43.919998,99.940002,118.690002,34.790001000000004,81.790001,69.620003,27.27,41.540001,58.93,58.0,17.5,35.77,13.24,29.9,35.939999,40.450001,31.889999,41.540001,75.540001,78.599998,164.0,9.15,41.330002,75.5,12.06,55.02,22.030001,118.32,89.889999
131,58.810001,50.77,4.23,23.57,43.900002,100.82,118.589996,35.0,82.5,70.970001,27.23,41.700001,58.779999,59.240002,17.49,36.209999,13.23,30.5,35.93,41.09,31.82,42.0,76.870003,80.089996,164.059998,9.24,41.790001,76.0,12.29,55.389999,22.299999,118.989998,89.849998
