,AIV,AMT,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCN,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SLG,SPG,UDR,VNO,VTR,WY
216,46.779999,112.5,182.539993,139.119995,28.91,94.849998,97.300003,358.089996,64.190002,230.25999500000003,79.970001,158.690002,28.639999,75.91999799999998,35.628414,16.200001,37.599998,29.92,95.989998,82.300003,67.82,54.490002,221.860001,79.0,113.389999,213.179993,36.630001,83.565079,71.970001,31.959999
217,47.82,113.220001,184.0,139.410004,28.27,95.989998,98.150002,364.660004,64.870003,231.130005,81.360001,159.740005,28.76,77.019997,36.065575,15.99,37.900002,30.23,97.620003,83.029999,68.980003,54.400002,225.0,79.940002,112.43,215.559998,36.959999,84.244141,73.099998,31.690001
218,47.299999,112.400002,181.130005,137.679993,28.450001,95.089996,99.160004,363.850006,64.709999,226.789993,80.870003,158.270004,28.280001,75.589996,35.44626599999999,15.54,38.07,29.84,96.169998,82.010002,68.25,54.200001,223.660004,78.900002,110.269997,212.990005,36.650002,83.13662,72.25,31.98
219,47.220001,112.25,180.850006,137.490005,28.4,94.419998,98.830002,360.2799990000001,65.160004,226.300003,81.099998,157.610001,28.1,76.029999,35.67395399999999,15.56,38.23,29.879999,97.32,81.529999,68.300003,54.18,224.710007,78.970001,109.660004,211.710007,36.790001,82.934517,72.410004,32.34
220,46.93,113.790001,180.929993,137.389999,27.92,94.459999,98.5,360.299988,64.93,227.300003,81.449997,156.25,27.82,76.41999799999998,35.35519,15.78,37.880001,29.5,96.589996,81.08000200000002,68.059998,54.150002,226.369995,78.349998,108.529999,209.339996,36.709999,82.61924,72.410004,32.169998
221,45.689999,112.900002,177.190002,135.419998,27.77,93.779999,96.760002,360.630005,64.08000200000001,222.100006,79.239998,152.259995,27.43,74.459999,34.408016,15.5,37.509998,28.629999,93.769997,80.540001,66.68,53.330002,222.600006,77.25,107.889999,206.289993,35.84,81.487473,70.16999799999999,32.0
222,44.709999,112.25,174.270004,134.399994,27.99,93.589996,93.989998,357.359985,63.400002,218.02999900000003,77.559998,147.970001,27.0,73.699997,34.389801,15.57,36.48,29.23,91.93,78.910004,65.33000200000001,52.57,218.910004,75.540001,107.260002,201.529999,34.970001,80.396118,69.160004,31.780001
223,44.16,110.639999,172.990005,132.070007,27.799999,91.230003,92.260002,353.130005,62.57,217.949997,76.610001,147.410004,26.610001,72.07,33.670311,15.51,35.52,28.450001,90.900002,78.25,63.880001,51.349998,213.490005,75.0,106.290001,199.360001,34.75,79.862572,68.43,31.190001
224,41.939999,107.150002,166.75,127.220001,27.66,88.900002,90.129997,348.160004,61.040001,212.710007,73.900002,144.100006,26.049999,70.160004,32.950821000000005,15.35,34.07,27.690001,87.25,76.059998,61.740002,50.439999,209.520004,72.82,102.93,195.360001,33.580002,77.461601,67.43,30.51
225,42.299999,108.709999,167.520004,129.089996,27.870001,89.139999,91.440002,354.140015,61.66,213.550003,74.68,145.630005,26.26,70.709999,32.887066,15.55,34.040001000000004,27.870001,87.040001,76.339996,61.98,50.470001,211.960007,74.010002,105.599998,197.639999,33.93,78.520615,67.449997,31.209999
226,42.009998,108.550003,165.679993,129.240005,27.450001,88.309998,91.660004,352.119995,60.799999,212.610001,75.489998,145.699997,26.0,69.599998,32.741347999999995,15.53,33.639999,27.950001,86.160004,76.18,61.650002,49.950001,211.960007,73.989998,104.940002,196.970001,33.459999,78.011314,66.970001,31.120001
227,42.360001,109.169998,167.070007,128.5,27.379999,88.610001,92.410004,350.059998,60.810001,212.350006,75.5,145.179993,26.110001,69.589996,32.750454,15.63,33.900002,27.84,86.900002,76.449997,61.889999,50.110001,210.570007,74.269997,105.769997,197.5,33.599998,77.79304499999998,66.650002,30.959999
