,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
333,54.23,65.860001,11.05,75.519997,44.27,27.67,76.599998,100.900002,81.08000200000002,76.66999799999998,78.779999,58.389999,74.129997,35.79000100000001,31.09,39.029999,130.839996,23.469999,17.139999,65.849998,44.619999,82.07,36.490002,67.720001,49.939999,109.660004,59.41,43.400002
334,54.470001,66.470001,11.26,76.900002,44.779999,27.75,78.040001,101.43,82.199997,77.339996,79.5,58.849998,75.33000200000002,36.060001,31.469999,39.330002,131.610001,23.620001,17.469998999999998,66.650002,44.939999,83.370003,36.84,68.620003,50.450001,111.559998,60.130001,43.939999
335,54.43,66.160004,11.36,75.660004,44.52,27.629999,77.089996,100.459999,81.849998,76.529999,79.260002,58.779999,74.760002,36.07,31.219999,39.360001,130.119995,23.440001,18.0,66.220001,44.580002,82.879997,36.84,67.870003,50.419998,110.440002,59.959999,43.73
336,55.060001,66.620003,11.48,76.400002,44.77,27.76,77.57,100.989998,81.93,76.889999,79.699997,58.98,75.540001,36.110001,31.200001,39.619999,130.720001,23.450001,18.129999,66.589996,44.82,83.349998,37.02,67.989998,50.700001,110.910004,60.060001,43.900002
337,54.610001,66.099998,11.19,76.0,44.189999,27.450001,76.83000200000002,100.18,81.150002,76.099998,78.650002,58.41,75.150002,35.49000200000001,30.93,39.029999,130.220001,23.290001,18.32,66.239998,44.18,82.540001,36.790001,67.620003,50.310001,109.650002,59.669998,43.549999
338,55.740002,67.339996,11.34,76.860001,45.220001,27.719999,78.529999,101.989998,82.989998,77.650002,79.900002,59.759998,76.019997,36.099998,31.5,39.939999,132.009995,23.66,18.280001,67.550003,44.799999,84.0,37.619999,68.57,51.07,111.620003,60.959999,44.560001
339,55.860001,67.349998,11.13,77.0,45.07,27.91,78.540001,101.730003,82.489998,78.0,79.739998,59.599998,76.33000200000002,36.200001,31.389999,39.709999,132.490005,23.77,18.030001,67.720001,45.080002,83.599998,37.599998,67.540001,50.630001,112.029999,60.779999,44.509998
340,56.029999,67.389999,11.18,76.629997,45.119999,27.799999,78.290001,101.75,82.610001,77.889999,79.989998,59.580002,76.050003,35.880001,31.4,39.860001,131.970001,23.790001,18.15,67.41999799999999,44.98,83.58000200000002,37.630001,66.800003,50.369999,111.629997,60.75,44.52
341,56.419998,67.940002,11.26,77.58000200000002,45.52,27.940001,78.629997,102.589996,83.32,78.519997,80.980003,60.259998,77.08000200000002,36.259998,31.5,40.240002,133.050003,24.01,18.120001,67.989998,45.439999,84.529999,37.790001,67.150002,50.549999,112.230003,61.369999,44.869999
342,55.939999,67.480003,11.08,76.709999,45.09,27.65,77.980003,101.720001,82.540001,78.33000200000002,80.309998,59.509998,76.25,35.52,31.299999,40.009998,130.75,23.799999,18.110001,67.230003,44.619999,83.949997,37.400002,66.5,50.18,111.5,60.799999,44.66
343,55.200001,67.589996,11.26,77.07,45.009998,27.719999,77.839996,101.470001,82.739998,78.269997,80.150002,59.43,76.33000200000002,35.700001,31.540001,40.040001,130.550003,23.700001,18.68,66.83000200000001,44.349998,84.0,37.610001,65.970001,49.82,111.760002,61.009998,44.82
344,54.959999,67.160004,11.24,77.050003,44.700001,27.790001,77.480003,101.559998,82.110001,77.989998,79.620003,58.830002,76.190002,35.79000100000001,31.49,39.889999,130.03999299999998,23.58,18.700001,66.349998,44.029999,83.389999,37.32,65.480003,49.75,110.790001,60.68,44.330002
