,ALB,APD,AVY,BLL,CF,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PPG,PX,SEE,SHW,VMC,WRK
184,82.029999,138.066605,78.730003,40.09,22.110001,123.110001,65.589996,12.47,48.16,136.490005,46.07,74.900002,200.529999,106.629997,28.309999,45.759998,52.919998,104.690002,117.129997,46.689999,296.209991,120.269997,43.84
185,82.120003,138.381134,78.790001,40.32,21.370001,122.940002,65.150002,12.15,48.02,135.770004,46.459999,74.730003,200.470001,106.610001,27.940001,45.689999,52.57,104.82,116.75,47.0,298.119995,121.760002,44.759998
186,82.410004,138.76040600000002,78.059998,40.325001,22.219999,122.800003,65.230003,12.0,48.110001,135.46000700000002,46.84,75.510002,198.960007,105.919998,28.110001,45.98,52.099998,104.610001,116.730003,47.130001,295.299988,121.199997,45.110001
187,83.480003,138.917664,78.400002,40.040001,22.57,122.910004,64.940002,11.95,47.950001,136.0,46.5,75.489998,196.470001,105.660004,27.26,45.16,50.98,104.129997,116.879997,47.060001,297.220001,119.410004,44.790001
188,84.279999,141.22108500000004,77.940002,40.235001,23.290001,122.550003,66.110001,12.36,48.43,135.839996,46.450001,77.730003,199.419998,106.040001,28.5,45.009998,51.700001,104.510002,123.029999,47.07,296.5,119.709999,44.389999
189,81.779999,141.396851,77.379997,40.134998,23.49,122.360001,65.610001,11.98,47.52,134.220001,46.759998,76.540001,196.800003,105.660004,27.799999,44.049999,50.549999,103.660004,120.959999,46.919998,290.230011,117.870003,45.040001
190,81.010002,142.183167,77.160004,40.185001,23.27,122.129997,64.970001,12.2,47.09,134.380005,47.290001,77.43,194.0,104.599998,27.860001,44.330002,50.75,103.589996,120.440002,46.509998,287.540009,117.07,45.509998
191,81.0,142.59944199999995,76.41999799999998,39.91,22.540001,121.93,64.75,12.06,47.25,135.779999,47.330002,77.779999,193.610001,103.699997,27.65,43.650002,50.419998,103.220001,121.349998,46.099998,287.660004,117.559998,45.220001
192,82.279999,143.515259,77.16999799999998,40.064999,23.030001,122.379997,65.879997,11.75,47.59,137.410004,47.139999,79.269997,191.699997,104.269997,27.870001,43.490002,49.639999,104.43,122.129997,46.27,287.059998,116.129997,44.830002
193,84.5,144.310822,77.620003,40.349998,24.389999,122.800003,66.970001,11.95,48.049999,138.53999299999998,46.98,79.190002,195.720001,108.709999,28.719999,43.759998,50.650002,105.870003,122.919998,47.549999,289.540009,119.209999,44.77
